Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Score,Perceptions of corruption,Year
China,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,5.123899937,0.7539711,2020
Turkmenistan,9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,5.119100094,0.883691847,2020
Bulgaria,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,5.101500034,0.935585141,2020
Morocco,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,5.094799995,0.815724611,2020
Cameroon,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,5.084899902,0.851336598,2020
Venezuela,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,5.053199768,0.837038398,2020
Algeria,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,5.005099773,0.735485137,2020
Senegal,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,4.980800152,0.808785141,2020
Guinea,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,4.949299812,0.761794448,2020
Niger,6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,4.909599781,0.722530186,2020
Laos,8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,4.888599873,0.634679317,2020
Albania,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,4.882699966,0.896303713,2020
Cambodia,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,4.848400116,0.822769046,2020
Bangladesh,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,4.832799911,0.661843538,2020
Gabon,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,4.829299927,0.849150956,2020
South Africa,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,4.814099789,0.843423843,2020
Iraq,9.661095619,0.747694969,59.90354919,0.633182645,-0.06956476,4.784800053,0.82226181,2020
Lebanon,9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,4.771500111,0.90225625,2020
Burkina Faso,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,4.768700123,0.739795029,2020
Gambia,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,4.750599861,0.690717816,2020
Mali,7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,4.729300022,0.839328408,2020
Nigeria,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,4.724100113,0.861874342,2020
Armenia,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,4.676799774,0.773544788,2020
Georgia,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,4.672599792,0.665944695,2020
Iran,9.813719749,0.694689691,66.00614929,0.647873282,0.117891103,4.672399998,0.714635968,2020
Jordan,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,4.633399963,0.700344324,2020
Mozambique,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,4.623600006,0.683019102,2020
Kenya,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,4.583000183,0.831499159,2020
Namibia,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,4.571100235,0.851449788,2020
Ukraine,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,4.56069994,0.920636714,2020
Liberia,7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,4.557899952,0.856375933,2020
Palestinian Territories,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,4.552800179,0.824199975,2020
Uganda,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,4.43200016,0.836737812,2020
Chad,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,4.422699928,0.802760839,2020
Tunisia,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,4.392199993,0.867590249,2020
Mauritania,8.233919144,0.790819228,57.01017761,0.551522553,-0.106008142,4.374599934,0.746223509,2020
Sri Lanka,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,4.327000141,0.859001756,2020
Congo (Kinshasa),6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,4.31099987,0.809403598,2020
Swaziland,9.16267395,0.770290196,51.18823624,0.646822274,-0.19920142,4.308100224,0.708263338,2020
Myanmar,8.680481911,0.78440702,58.96171188,0.895075202,0.560663998,4.308000088,0.645124316,2020
Comoros,7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,4.288599968,0.780622602,2020
Togo,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,4.187200069,0.757733464,2020
Ethiopia,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,4.186200142,0.753690004,2020
Madagascar,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,4.165599823,0.817485631,2020
Egypt,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,4.151400089,0.787726879,2020
Sierra Leone,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,3.926399946,0.861330688,2020
Burundi,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,3.775300026,0.606934547,2020
Zambia,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,3.759399891,0.801289678,2020
Haiti,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,3.720799923,0.684767246,2020
Lesotho,7.960488319,0.780495703,48.00362396,0.738125861,-0.145732045,3.652800083,0.857392073,2020
India,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,3.573299885,0.772042692,2020
Malawi,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,3.538000107,0.731700778,2020
Yemen,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,3.527400017,0.800287724,2020
Botswana,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,3.478899956,0.777930915,2020
Tanzania,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,3.476200104,0.619799435,2020
Central African Republic,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,3.475899935,0.891806662,2020
Rwanda,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,3.312299967,0.183541179,2020
Zimbabwe,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,3.299200058,0.81023699,2020
South Sudan,7.425359726,0.553707123,51.0,0.451313615,0.016518548,2.816600084,0.763417304,2020
Afghanistan,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,2.566900015,0.933686554,2020
Finland,10.775,0.954,72.0,0.949,-0.098,7.842,0.186,2021
Denmark,10.933,0.954,72.7,0.946,0.03,7.62,0.179,2021
Switzerland,11.117,0.942,74.4,0.919,0.025,7.571,0.292,2021
Iceland,10.878,0.983,73.0,0.955,0.16,7.554,0.673,2021
Netherlands,10.932,0.942,72.4,0.913,0.175,7.464,0.338,2021
Norway,11.053,0.954,73.3,0.96,0.093,7.392,0.27,2021
Sweden,10.867,0.934,72.7,0.945,0.086,7.363,0.237,2021
Luxembourg,11.647,0.908,72.6,0.907,-0.034,7.324,0.386,2021
New Zealand,10.643,0.948,73.4,0.929,0.134,7.277,0.242,2021
Austria,10.906,0.934,73.3,0.908,0.042,7.268,0.481,2021
Australia,10.796,0.94,73.9,0.914,0.159,7.183,0.442,2021
Israel,10.575,0.939,73.503,0.8,0.031,7.157,0.753,2021
Germany,10.873,0.903,72.5,0.875,0.011,7.155,0.46,2021
Canada,10.776,0.926,73.8,0.915,0.089,7.103,0.415,2021
Ireland,11.342,0.947,72.4,0.879,0.077,7.085,0.363,2021
Costa Rica,9.88,0.891,71.4,0.934,-0.126,7.069,0.809,2021
United Kingdom,10.707,0.934,72.5,0.859,0.233,7.064,0.459,2021
Czech Republic,10.556,0.947,70.807,0.858,-0.208,6.965,0.868,2021
United States,11.023,0.92,68.2,0.837,0.098,6.951,0.698,2021
Belgium,10.823,0.906,72.199,0.783,-0.153,6.834,0.646,2021
France,10.704,0.942,74.0,0.822,-0.147,6.69,0.571,2021
Bahrain,10.669,0.862,69.495,0.925,0.089,6.647,0.722,2021
Malta,10.674,0.931,72.2,0.927,0.133,6.602,0.653,2021
Taiwan Province of China,10.871,0.898,69.6,0.784,-0.07,6.584,0.721,2021
United Arab Emirates,11.085,0.844,67.333,0.932,0.074,6.561,0.589,2021
Saudi Arabia,10.743,0.891,66.603,0.877,-0.149,6.494,0.684,2021
Spain,10.571,0.932,74.7,0.761,-0.081,6.491,0.745,2021
Italy,10.623,0.88,73.8,0.693,-0.084,6.483,0.866,2021
Slovenia,10.529,0.948,71.4,0.949,-0.101,6.461,0.806,2021
Guatemala,9.053,0.813,64.958,0.906,-0.038,6.435,0.775,2021
Uruguay,9.966,0.925,69.1,0.896,-0.092,6.431,0.59,2021
Singapore,11.488,0.915,76.953,0.927,-0.018,6.377,0.082,2021
Kosovo,9.318,0.821,63.813,0.869,0.257,6.372,0.917,2021
Slovakia,10.369,0.936,69.201,0.766,-0.124,6.331,0.911,2021
Brazil,9.577,0.882,66.601,0.804,-0.071,6.33,0.756,2021
Mexico,9.859,0.831,68.597,0.862,-0.147,6.317,0.799,2021
Jamaica,9.186,0.877,67.5,0.89,-0.137,6.309,0.884,2021
Lithuania,10.499,0.935,67.906,0.773,-0.203,6.255,0.826,2021
Cyprus,10.576,0.802,73.898,0.763,-0.015,6.223,0.844,2021
Estonia,10.481,0.941,68.8,0.909,-0.106,6.189,0.527,2021
Panama,10.35,0.896,69.652,0.872,-0.166,6.18,0.856,2021
Uzbekistan,8.836,0.918,65.255,0.97,0.311,6.179,0.515,2021
Chile,10.071,0.882,70.0,0.742,-0.044,6.172,0.83,2021
Poland,10.382,0.898,69.702,0.841,-0.165,6.166,0.735,2021
Kazakhstan,10.155,0.952,65.2,0.853,-0.069,6.152,0.733,2021
Romania,10.284,0.832,67.355,0.845,-0.219,6.14,0.938,2021
Kuwait,10.817,0.843,66.9,0.867,-0.104,6.106,0.736,2021
Serbia,9.787,0.873,68.6,0.778,0.002,6.078,0.835,2021
El Salvador,9.054,0.762,66.402,0.888,-0.11,6.061,0.688,2021
Mauritius,10.008,0.905,66.701,0.867,-0.054,6.049,0.789,2021
Latvia,10.315,0.927,67.1,0.715,-0.162,6.032,0.8,2021
Colombia,9.557,0.847,68.001,0.837,-0.135,6.012,0.841,2021
